Rental Fleet ,,,,,,,,,,,
Kayaks,,,Abaco 9.5 Total,Frenzy Total,Tarpon 120 Total,Scrambler 11 Total,Gemini Total,Pro 2 Total,Malibu Two XL Total,Corona Total,
Inventory #,98,,,,,,,,,,
Boat Count #,111,,1,1,20,26,7,36,5,2,98
Boat #,Serial #,,Type,Brand,Model,Primary Color,Added to Fleet,In Current Fleet,Date Removed,,Notes
6,WEMZT11FWA212,,Single,West Marine,Abaco 9.5,Orange,2016,TRUE,,,Sell or Recycle
7,WEMZT17KK112,,Single,West Marine,Abaco 9.5,Orange,2016,FALSE,June 2021,,Sell or Recycle// Borrowed for Hill Country Galleria Display
14,XTC19213E717,,Single,Ocean Kayak,Frenzy,Green,2016,TRUE,,,Sell or Recycle
34,WEMMCGS4H718,,Single,Wilderness Systems,Tarpon 120,Blue,2016,TRUE,,,
35,WEMMCGR6H718,,Single,Wilderness Systems,Tarpon 120,Blue,2017,TRUE,,,
36,WEMMCGSWH718,,Single,Wilderness Systems,Tarpon 120,Blue,2017,TRUE,,,
37,WEMMGGR9H718,,Single,Wilderness Systems,Tarpon 120,Blue,2017,TRUE,,,
38,WEMMCGWNI718,,Single,Wilderness Systems,Tarpon 120,Blue,2017,TRUE,,,
39,WEMMCGPOH718,,Single,Wilderness Systems,Tarpon 120,Blue,2017,TRUE,,,Serial # might be WEMMCGPDH718
40,WEMMCGUJI718,,Single,Wilderness Systems,Tarpon 120,Blue,2017,TRUE,,,
41 - A,WEMMCGPGH718,,Single,Wilderness Systems,Tarpon 120,Blue,2017,TRUE,,,41 #1
41 - B,WEMMCGPGH717,,Single,Wilderness Systems,Tarpon 120,Blue,2017,TRUE,,,41 #2
42,WEMMCH4RI718,,Single,Wilderness Systems,Tarpon 120,Blue,2017,TRUE,,,
43,WEMMCGNUH714,,Single,Wilderness Systems,Tarpon 120,Blue,2017,TRUE,,,Serial # might be WEMMCGNUH718
44,XTC20595H718,,Single,Ocean Kayak,Scrambler 11,Green,2018,TRUE,,,
45,XTC17733I718,,Single,Ocean Kayak,Scrambler 11,Green,2018,TRUE,,,
46,XTC17998I718,,Single,Ocean Kayak,Scrambler 11,Green,2018,TRUE,,,
47,XTC17921I718,,Single,Ocean Kayak,Scrambler 11,Green,2018,TRUE,,,
48,XTC17897I718,,Single,Ocean Kayak,Scrambler 11,Green,2018,TRUE,,,
49,XTC20474H718,,Single,Ocean Kayak,Scrambler 11,Green,2018,TRUE,,,
50,XTC17933I718,,Single,Ocean Kayak,Scrambler 11,Green,2018,TRUE,,,
51,XTC17984I718,,Single,Ocean Kayak,Scrambler 11,Green,2018,TRUE,,,
52,XTC17909I718,,Single,Ocean Kayak,Scrambler 11,Green,2017,TRUE,,,
53,XTC19787H617,,Single,Ocean Kayak,Scrambler 11,Green,2017,TRUE,,,
54,XTC19919C717,,Single,Ocean Kayak,Scrambler 11,Green,2017,TRUE,,,
