Rental Fleet ,,,,,,,,,
SUPs,,,,,,,,,
Inventory # ,93,,Glide Total,Surftec Total,SUP USA Total,TAHE,,,
Boat Count #,95,,78,4,1,20,,,
Boat #,Serial #,Type,Brand,Model,Primary Color,Added to Fleet,In Current Fleet,Date Removed ,Notes
7,,SUP,Glide,Rental - 11,Yellow,2018,TRUE,,Repair work done July 2021
8,,SUP,Glide,Rental - 11,Yellow,2018,TRUE,,
14,,SUP,Glide,Rental - 11,Yellow,2018,TRUE,,
16,,SUP,Glide,Rental - 11,Yellow,2018,TRUE,,
17,,SUP,Glide,Rental - 11,Yellow,2018,TRUE,,
26,,SUP,Glide,Rental - 11,Yellow,2018,TRUE,,
31,,SUP,Glide,Rental - 11,Yellow,2018,TRUE,,
33,,SUP,Glide,Rental - 11,Yellow,2018,TRUE,,
35,,SUP,Glide,Rental - 11,Yellow,2018,TRUE,,Repair work done July 2021
41,,SUP,Glide,Rental - 11,Yellow,2019,TRUE,,
42,,SUP,Glide,Rental - 11,Yellow,2019,TRUE,,Repair work done July 2021
44,,SUP,Glide,Rental - 11,Yellow,2019,TRUE,,Repair work done July 2021
45,,SUP,Glide,Rental - 11,Yellow,2019,TRUE,,
47,,SUP,Glide,Rental - 11,Yellow,2019,TRUE,,Repair work done July 2021 (Removed)
48,,SUP,Glide,Rental - 11,Yellow,2019,TRUE,,
49,,SUP,Glide,Rental - 11,Yellow,2019,TRUE,,
50,,SUP,Glide,Rental - 11,Yellow,2019,TRUE,,Repair work done July 2021
51,,SUP,Glide,Rental - 11,Yellow,2018,TRUE,,Repair work done July 2021 (Removed)
101,,SUP,Surftec,12,White/Blue,2019,TRUE,,
102,,SUP,SUP USA,12,White/Brown,2019,TRUE,,
103,,SUP,Surftec,12,Green/White,2019,TRUE,,
104,,SUP,Surftec,12,Green/White,2019,TRUE,,
105,,SUP,Surftec,12,Green/White,2019,TRUE,,
71,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,Repair work done July 2021
72,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
73,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,Repair work done July 2021
74,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
75,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
76,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,Repair work done July 2021
77,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
78,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
79,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
80,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
81,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
82,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
83,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
84,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
85,,SUP,Glide,Rental - 11,Yellow,1/6/2020,TRUE,,
86,,SUP,Glide,Lotus - 10,Yellow,1/6/2020,TRUE,,Repair work done July 2021
87,,SUP,Glide,Lotus - 10,Yellow,1/6/2020,TRUE,,Repair work done July 2021
88,,SUP,Glide,Lotus - 10,Yellow,1/6/2020,TRUE,,Repair work done July 2021
89,,SUP,Glide,Lotus - 10,Yellow,1/6/2020,TRUE,,Repair work done July 2021
90,,SUP,Glide,Lotus - 10,Yellow,1/6/2020,TRUE,,Repair work done July 2021
91,,SUP,Glide,Lotus - 10,Yellow,1/6/2020,TRUE,,
92,,SUP,Glide,Rental - 11,Yellow,01/15/2021,TRUE,,Purchased under CAVK ownership.
93,,SUP,Glide,Rental - 11,Yellow,01/15/2021,TRUE,,Purchased under CAVK ownership.
94,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019. Repair work done July 2021
95,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019. Repair work done July 2021
96,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
97,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
98,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
99,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019. Repair work done July 2021
100,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
106,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
107,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
108,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
109,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
110,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019. Repair work done July 2021
111,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
112,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
113,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019. Repair work done July 2021
114,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
115,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019. Repair work done July 2021
116,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Renumbered in 2021. Boards from 2018-2019
117,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Two older in bay 5
118,,SUP,Glide,Rental - 11,Yellow,2018 - 2019,TRUE,,Two older in bay 5.
119,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
120,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
121,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
122,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
123,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
124,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
125,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
126,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
127,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
128,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
129,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
130,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
131,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
132,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
133,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
134,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
135,,SUP,Glide,Rental - 11,Yellow,"July 23, 2021",TRUE,,
136,G13258,SUP,Tahe,Beach Cross-11,White,"December 29th, 2021",TRUE,,
137,G06692,SUP,Tahe,Beach Cross-10,White,"December 29th, 2021",TRUE,,
138,G06400,SUP,Tahe,Beach Cross-10,White,"December 29th, 2021",TRUE,,
139,G06632,SUP,Tahe,Beach Cross-10,White,"December 29th, 2021",TRUE,,
140,G13250,SUP,Tahe,Beach Cross-11,White,"December 29th, 2021",TRUE,,
141,G06616,SUP,Tahe,Beach Cross-10,White,"December 29th, 2021",TRUE,,
142,G13254,SUP,Tahe,Beach Cross-11,White,"December 29th, 2021",TRUE,,
143,G06693,SUP,Tahe,Beach Cross-10,White,"December 29th, 2021",TRUE,,
144,G13121,SUP,Tahe,Beach Cross-11,White,"December 29th, 2021",TRUE,,
145,G13256,SUP,Tahe,Beach Cross-11,White,"December 29th, 2021",TRUE,,
